scinam,longevity,origin,data_sources
nipponia nippon,17,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
nucifraga columbiana,17.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
numenius americanus,10,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
numenius arquata,31.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
numenius phaeopus,16.083,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
numenius tahitiensis,23.834,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
nyctea scandiaca,10.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
nycticorax nycticorax,21,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
nycticorax violaceus,6.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
oceanodroma castro,36,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
oceanodroma furcata,14,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
oceanodroma homochroa,8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
oceanodroma leucorhoa,36,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
oceanodroma tristrami,14,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
oporornis agilis,4.34,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
oporornis formosus,7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
oporornis philadelphia,7.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
oporornis tolmiei,4.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
oriolus xanthornus,15.5,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ortalis vetula,0.2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
otis tarda,28.3,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
otus asio,14.167,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
otus flammeolus,8.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
otus kennicottii,12.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
otus scops,6.75,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
oxyura australis,16,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
oxyura jamaicensis,13.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pagodroma nivea,20,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pagophila eburnea,17,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pandion haliaetus,25,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
parabuteo unicinctus,15,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
paradisaea apoda,12.1,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
parula americana,4.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
parus major,15.417,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
passer domesticus,19.67,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
passer hispaniolensis,11.25,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
passer moabiticus,7.25,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
passer montanus,13.083,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
passerculus sandwichensis,6.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
passerella iliaca,9.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
passerina amoena,8.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
passerina caerulea,5.917,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
passerina ciris,12,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
passerina cyanea,11,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pavo cristatus,23.2,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pavo muticus,8,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pelecanus crispus,26.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pelecanus erythrorhynchos,26.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pelecanus occidentalis,43,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pelecanus onocrotalus,51,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pelecanus philippensis,31,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
perdix perdix,5.17,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
periparus ater,9.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
perisoreus canadensis,19.2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pernis apivorus,29,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
petrochelidon fulva,9.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
petrochelidon pyrrhonota,11,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phaethon aethereus,10,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phaethon rubricauda,23.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phalacrocorax aristotelis,30.583,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phalacrocorax auritus,17.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phalacrocorax carbo,23.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phalacrocorax olivaceus,12.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phalacrocorax pelagicus,17.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phalacrocorax penicillatus,9.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phalacrocorax purpurascens,13,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phalaenoptilus nuttallii,3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phalaropus lobatus,9.917,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phasianus colchicus,27,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pheucticus ludovicianus,7.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pheucticus melanocephalus,9.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phoeniconaias minor,50,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phoenicoparrus andinus,25,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phoenicopterus chilensis,50,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phoenicopterus ruber,33,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
phylloscopus borealis,3.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pica hudsonia,7,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pica nuttalli,10,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pica pica,5.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
picoides borealis,13.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
picoides dorsalis,6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
picoides pubescens,11.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
picoides scalaris,4.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
picoides tridactylus,6.25,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
picoides villosus,15.834,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pinicola enucleator,9.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pipilo aberti,8.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pipilo chlorurus,7.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pipilo crissalis,12.834,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pipilo erythrophthalmus,12.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pipilo fuscus,12.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
piranga ludoviciana,7.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
piranga olivacea,10.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
piranga rubra,7.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
platalea ajaja,7.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
platalea leucorodia,28,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
platycercus adelaidae,26.8,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
platycercus elegans,15.4,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
platycercus eximius,27.4,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
platycercus icterotis,13.2,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
plectrophenax hyperboreus,4.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
plectrophenax nivalis,8.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
plectropterus gambensis,11.3,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
plegadis chihi,14.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
plegadis falcinellus,14.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
podiceps auritus,7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
podiceps cristatus,14.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
podiceps grisegena,4.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
podiceps nigricollis,12,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poecile atricapillus,12.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poecile carolinensis,10.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poecile cinctus,7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poecile gambeli,10.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poecile hudsonicus,4.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poecile rufescens,7.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poecile sclateri,5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poicephalus cryptoxanthus,32.1,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poicephalus gulielmi,21,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poicephalus meyeri,34.2,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poicephalus robustus,29.7,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poicephalus rueppellii,34.3,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poicephalus rufiventris,33.4,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
poicephalus senegalus,40,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
polioptila caerulea,4.2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
polyborus plancus,8.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
polysticta stelleri,14.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pooecetes gramineus,7.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
porphyrio porphyrio,9,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
procellaria parkinsoni,17,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
procelsterna cerulea,14,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
progne subis,13.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
protonotaria citrea,4.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
prunella modularis,11.75,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
psaltriparus minimus,8.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
psittacula alexandri,23.3,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
psittacula cyanocephala,18.8,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
psittacula eupatria,30,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
psittacula krameri,34,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pterodroma alba,11.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pterodroma hypoleuca,10.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pterodroma leucoptera,32.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pterodroma macroptera,18,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pterodroma phaeopygia,7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ptilonorhynchus violaceus,21,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ptychoramphus aleuticus,10.2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
puffinus auricularis,5.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
puffinus carneipes,30.2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
puffinus gravis,7.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
puffinus lherminieri,19,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
puffinus nativitatis,17,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
puffinus pacificus,29,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
puffinus puffinus,37.67,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
puffinus tenuirostris,39.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pulsatrix perspicillata,10,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pycnonotus jocosus,4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pyrocephalus rubinus,5.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pyrrhocorax graculus,16,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
pyrrhocorax pyrrhocorax,20.3,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
quiscalus major,12.83,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
quiscalus mexicanus,12.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
quiscalus quiscula,20.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
rallus aquaticus,8.75,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
rallus longirostris,7.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ramphocelus carbo,9,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
recurvirostra americana,9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
regulus calendula,5.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
