allparameters.Kingdom allparameters.Phylum allparameters.Class allparameters.Order allparameters.Family allparameters.Genus allparameters.Species allparameters.Temperature allparameters.FrT allparameters.EuFish
NA NA NA NA NA NA Siganus_canaliculatus 28.225 0.206415538890366 0
NA NA NA NA NA NA Siganus_fuscescens 28 0.204067965440518 0
NA NA NA NA NA NA Siganus_guttatus 28.5 0.216423718671007 0
Animalia Chordata Actinopterygii Perciformes Sillaginidae Sillago Sillago_sihama 20.35 0.231151503107869 0
Animalia Chordata Actinopterygii Siluriformes Siluridae Silurus Silurus_glanis 19.75 0.146637784705947 0
NA NA NA NA NA NA Siniperca_knerii 22.4 0.223755047386776 0
NA NA NA NA NA NA Sphoeroides_testudineus 25.4 0.188035911847262 0
Animalia Chordata Actinopterygii Perciformes Sphyraenidae Sphyraena Sphyraena_barracuda 23.6666666666667 0.177051836533075 0
NA NA NA NA NA NA Sphyraena_jello 29 0.177258447435697 0
Animalia Chordata Chondrichthyes Carcharhiniformes Sphyrnidae Sphyrna Sphyrna_lewini 20.8333333333333 0.258035282635202 0
Animalia Chordata Chondrichthyes Carcharhiniformes Sphyrnidae Sphyrna Sphyrna_tiburo 26 0.260865334419217 0
NA NA NA NA NA NA Spicara_maena 19 0.247731672113216 0
NA NA NA NA NA NA Spinachia_spinachia 8.2 0.376331682831651 0
NA NA NA NA NA NA Spratelloides_delicatulus 28.8266666666667 0.207530501109923 0
NA NA NA NA NA NA Spratelloides_gracilis 29.27 0.237803912680736 0
Animalia Chordata Actinopterygii Clupeiformes Clupeidae Sprattus Sprattus_sprattus 10.5888888888889 0.217860552103219 0
NA NA NA NA NA NA Squaliobarbus_curriculus 22.4 0.154176575560536 0
Animalia Chordata Chondrichthyes Squaliformes Squalidae Squalus Squalus_acanthias 9.48 0.253299975723394 0
NA NA NA NA NA NA Syngnathus_typhle 8.2 0.257612482532966 0
NA NA NA NA NA NA Synodus_variegatus 27 0.256758845029314 0
NA NA NA NA NA NA Takifugu_rubripes 15 0.20600251338514 0
NA NA NA NA NA NA Terapon_jarbua 22 0.232768698928848 0
NA NA NA NA NA NA Tetragonurus_cuvieri 4 0.23715041196565 0
Animalia Chordata Actinopterygii Perciformes Scombridae Thunnus Thunnus_alalunga 15.6851851851852 0.216133399732282 1
NA NA NA NA NA NA Thunnus_atlanticus 24.5 0.21509860313356 1
Animalia Chordata Actinopterygii Perciformes Scombridae Thunnus Thunnus_thynnus 15.7055555555556 0.212683093734653 1
NA NA NA NA NA NA Thunnus_tonggol 27 0.215344350651437 1
NA NA NA NA NA NA Thymallus_thymallus 6.5 0.256897374989652 0
NA NA NA NA NA NA Tor_khudree 24 0.138828198168071 0
Animalia Chordata Actinopterygii Perciformes Carangidae Trachurus Trachurus_japonicus 17.8571428571429 0.222392712256399 0
NA NA NA NA NA NA Trachurus_trachurus 13.6535714285714 0.222695022915708 0
NA NA NA NA NA NA Triacanthus_biaculeatus 18 0.238683101521483 0
NA NA NA NA NA NA Trichogaster_fasciata 24 0.311548425717838 0
Animalia Chordata Actinopterygii Pleuronectiformes Achiridae Trinectes Trinectes_maculatus 23 0.186723041155154 0
NA NA NA NA NA NA Tropheus_moorii 26 0.217909012517533 0
NA NA NA NA NA NA Variola_louti 29 0.28206429559677 0
NA NA NA NA NA NA Verasper_variegatus 16 0.232163954646048 0
NA NA NA NA NA NA Xenocypris_davidi 22.4 0.16342939818772 0
NA NA NA NA NA NA Xiphias_gladius 20.6125 0.197501123271946 1
NA NA NA NA NA NA Zearaja_chilensis 9.45 0.206861475057343 0
Animalia Chordata Actinopterygii Zeiformes Zeidae Zeus Zeus_faber 13 0.216853931106076 0
