first;second;at;ag;ac;ta;tg;tc;ga;gt;gc;ca;ct;cg
30026;EU_IT_1588;0;0;0;0;0;1;1;0;0;0;1;0
23541;22286;0;4;0;0;0;3;5;0;0;0;6;0
13788;9224;1;0;0;0;0;1;4;0;0;0;5;0
23496;AS_JP_0097;0;0;0;0;0;0;1;0;1;0;1;0
34190;34121;0;1;0;0;0;0;0;0;0;0;2;0
17566;AS_CN_0050;0;7;2;0;0;6;5;0;0;0;5;0
34328;34261;0;2;0;0;0;3;7;0;0;0;4;0
7595;AM_EC_0156;0;5;0;0;0;0;2;0;0;1;5;0
16;AF_BW_0209;0;1;0;0;0;0;2;0;0;0;1;0
2729;XX_XX_12544;0;1;0;0;0;1;2;0;0;0;0;0
21568;19862;1;0;0;0;0;0;2;0;0;0;6;0
36057;36051;0;0;0;0;0;1;1;0;0;0;0;0
22003;EU_BY_0009;0;3;1;0;0;1;2;0;0;0;2;0
20849;18953;0;2;0;0;0;1;1;0;0;0;0;0
15390;11600;0;1;0;0;0;0;1;0;0;0;0;0
29396;EU_XX_0404;0;1;0;0;0;2;1;0;0;0;0;0
34980;17945;0;2;0;0;0;0;0;0;0;0;3;0
2182;XX_XX_8692;0;1;0;0;1;1;0;0;0;0;1;0
7360;EU_FI_0327;0;1;1;0;0;3;2;0;0;0;1;1
8781;550;0;1;0;0;0;0;1;0;0;0;0;0
339;AF_AO_0315;0;1;0;0;0;1;0;0;0;0;2;0
20277;AS_AM_0072;0;3;0;0;0;4;0;0;0;0;4;0
5096;XX_XX_5653;0;1;0;0;0;0;1;0;0;0;2;0
13616;8958;0;0;0;1;0;1;1;0;0;0;1;0
20533;AS_YE_0099;0;1;0;0;0;3;4;0;0;0;1;0
15675;12022;0;0;0;0;0;1;2;0;0;0;1;0
25321;EU_GB_0066;0;0;0;0;0;0;2;0;0;0;1;0
35949;35937;0;0;0;0;0;0;2;0;0;0;1;0
29903;29587;0;3;0;0;0;3;0;0;0;0;5;0
7050;EU_DK_0880;0;1;2;0;0;2;0;0;0;0;1;0
13172;8271;0;2;0;0;0;0;0;0;0;0;0;0
28797;28379;0;0;0;0;0;2;1;0;0;0;0;0
23331;EU_IT_1991;0;0;0;0;0;0;1;0;0;0;0;0
32157;EU_ES_0051;0;1;0;0;0;0;1;0;1;0;0;0
27859;12085;0;1;0;0;0;0;1;1;0;0;1;0
34281;34214;0;1;0;0;0;0;0;0;0;0;0;0
20254;18210;0;0;0;0;0;1;0;0;0;0;0;0
29570;XX_XX_4660;0;1;0;0;0;0;0;0;0;0;2;0
30388;XX_XX_3152;0;2;0;0;1;3;3;0;0;0;2;0
4089;XX_XX_12190;0;1;0;0;1;8;6;0;0;0;4;0
5654;XX_XX_7358;0;1;0;0;0;1;2;0;0;0;3;0
34453;34390;0;1;0;0;0;1;2;0;0;0;0;0
8405;AF_XX_0045;0;1;0;0;0;1;0;0;0;0;0;0
22312;20778;0;0;0;0;0;4;2;0;0;0;2;0
19371;17073;0;0;0;0;0;0;0;0;0;0;1;0
12257;EU_SK_0026;0;0;0;0;0;0;1;0;0;1;1;0
34672;AF_SO_0051;0;0;0;0;0;2;1;0;0;0;3;0
1779;AS_IN_0752;0;3;0;0;0;7;1;0;0;0;1;0
6841;EU_DK_0620;0;4;0;0;0;1;2;0;0;0;1;0
17595;3721;0;5;0;0;0;5;3;0;0;0;9;0
11099;EU_DK_1725;0;4;0;0;0;4;2;0;0;0;2;0
28580;OC_TO_0016;0;0;0;0;0;1;0;0;0;0;0;0
7276;AM_US_0148;1;2;10;0;0;3;3;0;1;0;1;0
12364;EU_SE_0111;0;4;0;0;0;9;2;0;0;0;3;0
31135;30916;0;1;0;0;0;3;2;0;0;0;2;0
27695;27153;1;6;1;0;0;7;7;0;0;0;3;0
33428;XX_XX_1875;0;1;0;0;0;0;0;0;0;0;0;0
25649;EU_RU_0539;0;1;0;0;0;1;3;0;0;0;1;0
24176;EU_ES_0468;0;0;0;0;0;0;1;0;0;0;0;0
36245;14504;0;2;0;0;0;0;1;0;0;0;2;0
1364;AM_US_0010;0;5;0;0;0;3;2;0;0;0;1;0
31659;31474;0;1;0;0;0;1;1;0;0;0;0;0
20028;17930;0;2;0;0;0;1;1;0;0;0;3;0
35127;35091;0;0;0;0;0;0;0;0;0;0;1;0
2435;EU_DK_1774;0;2;0;0;0;3;2;0;0;0;1;0
25963;EU_IT_0724;0;1;0;1;0;1;1;0;0;0;5;0
29506;29153;0;1;0;0;0;0;0;0;0;0;0;0
21923;20296;0;1;1;0;0;0;1;0;0;0;1;0
34570;34512;0;7;0;0;0;9;3;0;0;0;9;0
30821;14911;0;0;0;2;0;1;0;0;0;2;1;2
21706;20031;0;1;0;0;0;1;0;0;0;0;0;0
32420;21092;0;0;0;1;0;0;1;0;0;0;2;0
14601;10409;0;3;1;0;0;1;0;0;0;0;1;0
14778;3870;0;0;0;0;0;1;0;0;0;0;0;0
16777;XX_XX_4215;0;1;0;0;0;1;0;0;0;0;3;0
29897;AF_ZM_0600;0;0;0;0;0;2;1;0;0;0;1;0
29815;29493;0;2;0;0;0;2;2;0;0;0;2;0
24460;EU_BY_0016;0;3;0;0;0;4;1;0;0;0;1;0
17562;3588;0;3;0;0;0;8;6;0;0;0;2;0
32664;EU_IT_2211;0;0;0;0;0;1;0;0;0;0;1;0
20146;EU_GB_0279;0;1;0;0;0;1;0;0;0;1;1;0
10873;4193;0;1;0;0;0;0;0;0;0;0;0;0
7507;AM_XX_0041;0;0;0;0;0;1;1;0;0;0;2;0
22599;21128;0;9;0;0;0;11;3;1;0;0;6;0
25688;XX_XX_13772;0;2;1;0;0;4;4;0;0;0;4;1
12331;6773;0;0;0;0;0;0;1;0;0;0;0;0
8167;XX_XX_9389;0;3;0;0;0;1;2;0;0;0;2;0
16923;13778;0;2;0;0;0;0;0;0;0;0;0;0
14177;9776;0;2;0;0;0;1;1;0;0;0;2;0
27508;26930;0;0;0;0;0;0;2;0;0;0;1;0
11671;5622;0;1;0;0;0;2;0;0;0;0;0;0
11969;6141;0;0;0;0;0;0;4;0;0;0;2;0
10694;AS_JP_0360;0;0;0;0;0;1;2;0;0;0;3;0
16146;AM_XX_0066;0;3;0;0;0;3;1;0;0;0;1;0
33402;EU_XX_0516;0;1;0;0;0;2;0;0;0;0;0;0
26637;25946;0;1;1;0;0;1;2;0;0;0;1;0
6687;XX_XX_7698;0;3;0;0;0;2;6;0;0;0;0;0
28604;28173;0;3;0;0;0;1;2;0;0;0;3;0
28655;19999;0;0;0;15;0;0;0;0;0;0;1;0
34171;XX_XX_10799;0;1;0;0;0;0;0;0;0;0;3;0
28901;28492;0;1;0;0;0;4;0;0;0;0;2;0
5474;EU_ES_0156;0;2;0;0;0;2;2;0;0;0;2;0
18302;15660;2;3;13;0;0;4;3;0;0;0;3;0
15456;EU_DK_0245;0;1;1;0;0;0;2;0;0;0;1;0
3013;XX_XX_11469;0;1;0;0;0;2;0;0;0;0;0;0
8287;AF_XX_0009;0;1;0;0;0;1;1;0;0;0;0;0
2367;EU_PL_0436;0;1;0;0;0;2;0;0;0;0;2;0
31262;31053;0;1;0;0;0;3;1;0;0;2;1;0
1537;XX_XX_7803;0;2;0;0;0;4;2;0;0;0;2;0
4053;AS_YE_0089;0;2;0;0;0;4;5;0;0;0;4;0
28696;5367;0;0;0;0;0;1;3;0;0;0;1;0
27045;22662;0;0;0;0;0;0;2;0;0;0;0;0
12162;AS_IL_0064;0;3;0;0;0;5;4;0;0;0;5;0
3028;OC_PG_0251;0;1;0;0;0;4;4;0;0;0;2;0
5989;XX_XX_13521;0;0;0;0;0;4;1;0;0;0;0;1
1435;EU_RU_0429;0;0;0;0;0;3;2;0;0;0;0;0
13717;AS_CN_0308;0;3;0;2;0;2;5;0;0;0;3;0
32822;32697;0;1;0;0;0;0;0;0;0;0;1;0
21367;2909;0;0;0;0;0;1;0;0;0;0;1;0
17926;XX_XX_6737;0;0;0;0;0;3;2;0;0;0;1;0
12839;7670;0;0;0;0;0;0;1;0;0;0;4;0
13320;XX_XX_13071;0;0;0;0;0;1;0;0;0;0;2;0
29115;27842;0;3;0;0;0;6;2;0;0;0;9;0
4254;EU_ES_0227;0;1;0;0;0;3;1;0;0;0;0;0
4659;AM_US_0782;0;2;0;0;0;0;2;0;0;0;1;0
34506;AF_SO_0057;1;0;0;0;0;2;1;0;0;0;3;0
1337;AM_CO_0136;0;3;1;0;0;2;3;0;0;0;3;0
3217;AS_TW_0555;0;1;0;0;0;1;1;0;0;0;0;0
25977;XX_XX_3888;1;1;0;0;0;0;0;0;0;0;1;0
24263;23141;0;0;0;0;0;1;0;0;0;1;1;0
5224;EU_NL_0050;0;1;0;0;0;4;0;0;0;1;1;0
27436;18740;0;1;0;0;0;1;1;0;0;0;1;0
14203;XX_XX_4308;0;0;0;0;0;3;1;0;0;0;1;0
804;EU_RU_0548;0;0;0;0;0;3;3;0;0;0;2;0
22155;XX_XX_8349;0;2;0;0;0;1;3;0;0;0;2;0
9760;2257;0;0;0;0;0;2;3;0;0;0;2;0
27823;5654;0;1;0;0;0;3;0;0;0;0;0;0
25246;24321;0;1;0;1;0;0;0;0;0;0;2;0
17008;13889;0;1;0;0;0;1;0;0;0;0;0;0
32848;3903;0;3;0;0;0;0;2;0;0;0;2;0
420;OC_SB_0719;0;1;0;0;0;1;3;0;0;0;1;0
12268;6670;0;0;0;15;0;0;0;0;0;0;2;0
10393;3363;0;1;0;0;0;1;1;0;0;0;2;0
17148;OC_PG_0130;2;9;0;1;0;8;7;0;0;0;16;1
21177;19373;0;5;1;0;0;5;3;1;0;0;5;0
23640;AF_ZM_0532;0;0;0;0;0;0;2;0;0;1;4;0
12625;EU_FI_0404;0;1;0;0;0;0;1;0;1;0;1;0
1530;EU_RU_1617;1;5;0;0;0;8;5;0;0;1;6;0
19876;AS_TR_0103;0;3;0;1;0;2;1;0;0;0;3;0
16696;13477;0;4;0;0;0;3;3;0;0;0;2;0
18900;16465;0;1;0;0;0;3;4;0;0;1;3;0
25144;24209;0;0;0;0;0;0;0;0;0;0;1;0
35893;35880;0;0;0;0;0;1;0;0;0;0;1;0
130;XX_XX_0024;0;1;2;0;0;3;1;0;0;0;1;0
3828;XX_XX_7418;0;0;0;0;0;1;0;0;0;0;2;0
23303;6444;0;1;0;0;0;1;2;0;0;0;3;0
34633;34578;0;2;0;0;0;4;7;0;0;0;4;0
9983;EU_IT_2530;0;1;0;0;0;2;1;0;0;0;3;0
30641;6019;0;4;0;0;0;3;4;0;0;0;7;0
21177;AS_IN_0868;0;6;1;0;0;7;5;1;0;0;5;0
27189;26571;0;1;0;0;0;2;0;0;0;0;0;0
10510;AM_PE_0516;0;1;0;0;0;5;3;0;0;0;1;0
24284;EU_GB_0197;0;1;0;0;0;0;1;0;0;0;2;0
8445;XX_XX_0606;0;2;0;0;0;2;1;0;0;0;4;0
18980;XX_XX_9877;1;0;0;0;0;2;2;0;0;0;1;0
7653;AS_JP_0494;0;4;0;0;0;3;0;0;0;0;2;0
18114;15413;0;0;0;0;0;0;1;0;0;0;2;0
25352;24454;0;0;0;0;0;2;0;0;0;0;0;0
21700;XX_XX_6626;0;2;0;0;0;2;1;0;0;1;1;0
6192;EU_PL_0220;0;1;1;0;0;6;4;0;0;0;1;0
29150;AM_US_0632;0;8;0;0;0;2;3;0;0;0;3;0
18950;16536;0;1;0;0;0;3;3;0;0;0;6;0
4455;EU_DK_0696;0;1;0;0;0;0;0;0;0;0;0;0
2030;OC_PG_0036;0;1;1;0;0;4;2;0;0;0;3;0
17475;14558;0;1;0;0;0;4;3;0;1;0;3;0
30516;30247;0;0;0;0;0;0;0;0;0;0;1;0
25853;25043;0;2;0;0;0;1;0;0;0;0;1;0
21598;EU_GB_0601;2;3;11;0;0;3;2;0;0;0;2;1
4184;AM_US_0826;0;3;0;0;0;2;2;0;0;0;2;0
5832;EU_DK_1470;0;2;0;0;0;1;1;0;0;0;2;0
12699;XX_XX_11049;0;2;0;0;0;0;3;0;0;1;5;0
20989;EU_RU_0160;0;0;0;0;0;3;0;0;0;0;1;0
34537;34478;0;2;0;0;0;0;2;0;0;1;1;0
33549;33453;0;1;0;0;0;0;0;0;0;0;2;0
26503;25799;0;1;0;0;0;3;3;0;0;0;3;0
19598;2838;1;3;12;0;0;3;2;0;0;0;1;0
33335;33232;0;1;0;0;0;1;1;0;0;0;2;0
580;AM_PE_0455;0;2;0;0;0;7;3;0;0;0;1;0
23077;21711;0;1;0;0;0;1;1;0;0;0;2;0
28558;21328;0;2;0;0;0;0;0;0;0;0;0;0
27632;14246;0;3;0;0;0;0;0;0;0;0;3;0
3656;EU_DK_0674;0;2;0;0;0;2;1;0;0;0;2;0
9772;2278;0;1;0;0;0;2;2;0;0;0;4;0
24427;23336;0;2;0;0;0;0;2;0;0;0;1;0
157;EU_IT_1771;0;1;0;0;0;0;0;0;0;0;0;0
20367;EU_GB_0304;0;3;0;0;0;2;0;0;0;1;1;0
17721;EU_ES_0844;0;0;0;0;0;2;0;0;0;1;0;0
15281;11450;0;0;0;0;0;2;2;0;0;0;0;0
30688;30426;0;2;0;0;0;1;2;0;0;0;0;0
22525;21038;0;3;0;0;0;1;2;0;0;0;0;0
2266;EU_DK_0182;0;0;0;0;0;1;1;0;0;0;0;0
29548;7927;0;0;0;0;0;0;0;0;0;0;1;0
17486;14572;0;3;0;1;0;0;1;0;0;0;2;0
14086;9643;1;0;0;0;0;8;4;0;0;0;3;0
34245;34177;0;1;0;0;0;0;2;0;0;0;0;0
25965;25175;0;3;0;0;0;2;0;0;0;0;0;0
1457;XX_XX_10600;0;1;0;0;0;2;5;0;0;0;2;0
33084;32972;0;0;1;0;0;0;0;0;0;0;1;0
25674;17033;0;0;0;0;0;1;1;0;0;1;0;0
13797;AM_CO_0220;0;2;0;0;0;1;1;0;0;0;1;0
6919;XX_XX_5518;0;4;1;0;0;2;5;0;0;0;4;0
3374;AM_EC_0024;0;0;0;0;0;2;1;0;0;1;0;0
9665;2102;0;1;0;0;0;0;0;0;0;0;0;0
17782;14969;0;0;0;0;0;0;1;0;0;0;0;0
18333;15700;0;1;0;0;0;0;1;0;0;0;0;0
16635;AF_NG_0012;0;3;0;0;0;10;5;0;0;0;6;0
13361;215;0;7;0;0;0;6;6;1;0;1;5;0
15344;11536;0;1;0;0;0;0;0;0;0;0;0;0
21108;AS_CN_0163;0;1;0;0;0;1;0;0;0;0;1;0
12625;7300;0;0;0;0;0;0;0;0;1;0;0;0
5984;AS_SA_0063;0;4;0;0;0;3;5;0;0;0;5;0
17324;AM_US_0500;0;0;0;0;0;0;1;0;0;0;1;0
17311;14307;0;0;0;0;0;2;0;0;0;0;3;0
662;AS_SA_0061;0;6;0;0;0;2;4;0;0;0;5;0
719;XX_XX_7812;0;3;1;0;0;6;1;0;0;1;2;0
27625;27069;0;1;0;0;0;0;1;0;0;0;2;0
23241;6003;0;2;0;1;0;1;5;0;0;3;3;0
1939;AS_YE_0206;0;2;0;0;0;1;4;0;0;0;4;0
34478;34415;0;1;1;0;0;4;3;0;0;0;1;0
6685;XX_XX_9132;0;1;0;0;0;1;3;0;0;0;2;0
10545;3627;0;3;0;1;1;0;2;0;0;0;3;0
33870;EU_PL_0132;0;2;0;0;0;1;0;0;0;0;3;0
4639;EU_RU_1360;2;3;9;0;0;0;0;0;1;0;0;0
15311;11495;0;1;0;0;0;1;1;0;0;0;1;0
422;XX_XX_3657;0;0;0;0;0;2;3;0;0;0;1;0
6181;EU_RU_1398;0;0;0;0;0;1;0;0;0;0;1;0
15048;4552;0;0;1;0;0;0;1;0;0;0;1;0
30325;30042;0;0;1;0;0;0;1;0;0;0;0;0
20890;16604;1;17;1;0;0;26;13;0;0;0;13;0
26693;26009;0;2;0;0;0;3;2;0;0;0;1;0
3832;AS_TH_0660;0;2;0;0;0;0;0;1;0;0;1;0
19425;OC_PG_0249;0;6;0;0;0;3;3;0;0;0;2;0
27121;AM_EC_0220;0;0;0;0;0;1;0;0;0;0;0;0
11696;XX_XX_0795;0;1;0;0;0;2;0;0;0;0;0;0
3322;AM_PE_0129;0;6;0;0;0;6;5;0;0;0;6;0
4034;EU_DK_1369;0;1;0;0;1;3;0;0;0;0;6;0
32126;XX_XX_1643;0;2;0;0;0;1;1;0;0;0;1;0
6039;EU_SE_0146;0;0;0;0;0;4;3;0;0;0;3;0
9563;1920;0;2;0;0;0;0;2;0;0;0;0;0
32721;19735;0;6;0;0;0;4;4;0;1;0;1;0
23248;21922;0;1;0;0;0;0;0;0;0;0;1;0
13654;9016;0;1;0;0;0;0;1;0;0;0;1;0
32349;EU_IT_0551;0;2;0;0;0;3;1;0;1;1;4;0
15325;11512;0;0;0;0;0;1;1;0;0;0;2;0
2869;XX_XX_11766;0;2;0;0;0;3;1;0;1;0;0;0
7571;XX_XX_9162;0;1;0;0;0;6;1;0;0;0;1;0
1423;EU_RU_0721;0;2;0;0;0;1;1;0;0;0;3;0
31323;XX_XX_1867;0;3;0;0;0;1;3;0;0;0;1;0
31632;EU_RU_0610;0;0;1;0;0;2;0;0;0;0;1;0
80;AF_BW_0287;0;4;0;0;0;0;4;0;0;0;4;0
29178;28797;0;1;0;0;0;0;1;0;0;0;2;0
26156;EU_FI_0069;0;2;0;0;0;2;1;0;0;0;1;0
9221;1339;0;0;0;0;0;1;0;0;0;0;0;0
7819;AF_BF_0064;0;0;0;0;0;0;0;0;0;0;2;0
35813;35799;0;2;0;0;0;0;2;0;0;0;0;0
21392;OC_TO_0038;0;1;0;0;0;1;1;0;0;0;2;0
308;XX_XX_13225;0;2;0;1;0;2;3;0;0;0;4;0
7446;XX_XX_8942;0;4;0;0;0;7;5;0;0;0;4;0
8868;AS_IN_0913;0;2;0;0;0;1;1;0;0;0;0;0
14285;XX_XX_3202;0;2;0;0;0;1;3;0;0;0;2;0
22256;20708;0;2;0;0;0;0;2;0;0;0;0;0
29313;EU_GB_0780;0;2;0;0;0;0;2;0;0;0;2;0
11920;6063;0;1;0;0;0;0;0;0;0;0;2;0
21915;18243;0;2;0;0;0;1;0;0;0;0;4;0
24963;3108;0;1;0;0;0;1;1;0;0;0;0;0
11928;6077;0;1;0;0;0;1;0;0;0;0;1;0
11944;AS_IN_1046;0;0;0;0;0;4;4;0;0;0;4;0
16609;13367;0;1;0;0;0;0;2;0;0;0;0;0
14598;10404;0;0;0;0;0;1;0;0;0;0;1;0
28442;AF_ZA_0055;0;0;0;0;0;1;2;0;0;0;1;0
27500;26922;0;1;0;0;0;0;0;0;0;0;1;0
23118;EU_DK_0833;0;1;0;0;0;0;0;0;0;0;0;0
21056;19219;0;0;0;0;0;1;1;0;0;0;2;0
17937;15172;0;1;0;0;0;0;2;0;0;0;2;0
25249;EU_SK_0005;0;1;0;0;0;3;2;0;0;0;0;0
13573;8893;0;0;1;0;0;0;2;0;0;0;0;0
9814;EU_DK_1552;0;1;0;0;0;2;1;0;0;0;2;0
13127;EU_ES_0647;0;2;0;0;0;3;3;0;0;0;3;0
23711;733;0;1;0;0;0;0;0;0;0;0;0;0
2976;AS_TL_0010;0;1;0;1;0;4;7;0;0;0;7;0
28306;XX_XX_8573;0;1;0;0;0;0;1;0;0;0;2;0
17371;14399;0;0;0;0;0;0;0;0;1;0;5;0
21128;OC_PG_0009;0;8;0;0;2;7;9;1;0;1;8;0
18001;AM_US_0541;0;1;0;0;0;2;2;0;0;0;2;0
2701;EU_IT_0287;0;3;0;0;0;0;1;0;0;0;1;1
35548;XX_XX_8062;0;2;0;0;0;1;4;0;0;0;3;0
15579;11878;0;0;0;0;0;1;0;0;0;0;1;0
28935;19432;0;5;0;0;0;3;4;0;0;0;4;0
22920;21515;0;0;0;0;0;1;1;0;0;0;0;0
6690;AS_LB_0025;0;1;0;0;0;0;0;0;0;0;2;0
30763;30508;0;1;0;0;0;1;2;0;0;0;3;0
11452;5186;0;1;0;0;0;0;0;0;0;0;2;0
5677;EU_DK_0080;0;0;1;0;0;2;1;0;0;0;2;0
30207;29918;0;0;0;0;0;0;0;0;0;1;3;0
17257;14233;0;1;0;0;0;2;1;0;0;0;2;0
23580;18891;2;17;1;0;0;17;7;0;0;1;15;1
16707;13490;0;0;0;0;0;2;1;0;0;0;1;0
31924;31749;0;1;0;0;0;2;3;0;0;0;3;0
22232;20677;1;5;0;2;1;5;7;1;0;1;9;0
31789;XX_XX_1435;0;0;0;0;0;1;0;0;0;0;0;0
11978;6156;0;0;0;0;0;0;0;0;0;0;1;0
33217;33110;0;1;0;0;0;3;1;0;0;1;4;0
4041;EU_IE_0157;0;2;1;1;0;4;6;0;0;0;5;0
14030;9566;0;0;0;0;0;2;1;0;0;0;0;0
29314;28944;0;1;0;0;0;1;2;0;0;0;1;0
29613;29266;0;1;0;0;0;4;2;0;0;0;1;0
11889;AS_JO_0029;0;2;0;0;0;0;0;0;0;1;1;0
792;AS_IN_0928;0;1;0;0;0;6;0;0;0;0;1;0
23761;22537;0;0;0;0;0;2;1;0;0;0;0;0
25985;25196;0;1;1;0;0;1;0;0;0;0;1;0
1514;AS_IN_0518;0;2;0;0;0;6;7;0;0;0;5;0
24596;23555;0;0;0;0;0;0;2;0;0;0;1;0
12021;6230;0;0;0;0;0;2;1;0;0;0;1;0
33422;33324;0;3;0;0;0;0;0;0;0;1;4;0
10126;AS_IR_0026;0;0;0;0;0;1;2;0;0;0;0;0
23620;AF_BW_0292;0;2;0;0;0;2;3;0;1;1;1;0
34422;32339;0;2;0;0;0;1;1;0;0;0;2;0
2658;AM_CO_0081;0;0;0;1;0;1;1;0;0;0;1;0
32808;32682;0;0;0;0;0;0;1;0;0;0;1;0
35257;35225;0;3;0;0;0;2;3;0;0;0;5;0
34332;2556;0;2;0;0;0;1;2;0;0;0;3;0
28787;AS_SA_0033;0;2;0;0;0;1;3;0;0;0;0;0
28171;10612;0;0;0;0;0;9;3;0;0;0;1;0
12875;7728;0;3;0;0;0;1;1;0;0;0;2;0
15225;EU_DK_0422;0;2;0;0;0;0;0;0;0;0;0;0
36193;29681;0;1;0;0;0;2;0;0;0;0;0;0
7608;AM_PE_0231;0;3;0;0;0;2;2;0;0;0;3;1
16499;13221;0;0;0;0;0;1;1;0;0;0;1;0
543;AS_JP_0343;0;2;0;0;0;1;3;0;0;0;5;0
14439;10171;0;0;0;0;0;0;0;0;0;0;4;0
17181;14122;0;0;0;1;0;1;1;0;0;0;0;0
2627;EU_IT_1273;0;1;0;0;0;2;1;0;0;0;2;0
11794;AS_IN_0017;0;3;0;0;0;5;1;0;0;0;3;0
19106;640;0;0;0;0;0;2;1;0;0;0;3;0
25295;24380;0;2;1;0;0;1;1;0;0;0;1;0
8303;AF_ZA_0028;0;6;0;0;0;9;4;0;0;0;6;0
2015;OC_SB_0688;0;2;0;0;0;8;4;0;0;0;5;0
13369;AF_BF_0080;0;4;1;0;0;3;1;0;0;0;0;0
32405;32255;0;0;0;0;0;0;1;0;0;0;1;0
3607;AS_JP_0038;0;1;0;1;0;5;2;0;0;0;3;0
5372;EU_DE_0233;2;2;12;0;0;5;1;0;0;0;2;0
17399;AS_TR_0053;0;0;0;0;0;1;2;0;0;0;1;0
10495;XX_XX_13158;0;0;0;0;0;1;2;0;0;1;0;0
26672;25984;0;1;0;0;0;1;4;0;0;1;0;0
4931;EU_RU_1785;0;2;0;0;0;4;1;0;0;0;1;1
22710;AS_KW_0015;0;0;0;0;0;1;5;0;0;0;2;0
34124;27573;0;2;0;0;0;0;2;0;0;0;1;0
26271;8535;0;1;0;0;0;1;0;0;0;0;0;0
32193;XX_XX_3410;0;1;0;0;0;0;1;0;0;0;3;0
15192;XX_XX_4893;1;1;0;0;0;3;1;0;0;0;3;0
27393;XX_XX_6566;0;1;0;0;0;0;3;0;0;0;2;0
20471;EU_RU_0021;0;1;0;0;0;3;3;0;0;0;0;0
29866;XX_XX_0340;0;0;0;0;0;1;1;0;0;0;1;0
9873;AS_LB_0123;0;2;0;0;0;2;2;0;0;0;1;0
23915;21275;0;0;0;0;0;3;0;0;0;0;0;0
17116;AF_MA_0075;0;1;0;0;0;3;0;0;0;0;3;0
21102;EU_RU_1022;0;0;1;0;0;1;1;0;0;0;2;0
21155;19345;0;0;0;0;0;1;0;0;0;0;0;0
16705;AF_TN_0085;0;1;0;0;0;1;1;0;0;1;3;1
23204;21864;0;1;0;0;0;0;1;0;0;0;0;1
3650;AS_TH_0164;0;5;1;0;0;4;3;1;1;0;6;0
35947;35935;0;4;0;0;0;0;4;0;0;0;0;0
28283;EU_FI_0399;0;0;0;0;0;1;4;0;0;0;2;0
17604;14743;0;5;0;0;0;8;8;0;0;0;10;0
11704;EU_XX_0235;0;1;0;0;0;1;1;0;0;0;2;0
15975;AM_US_0162;0;0;0;0;0;0;0;0;0;0;1;0
1271;XX_XX_4981;0;1;0;0;0;4;2;0;0;1;4;0
13934;9432;0;6;0;0;0;7;4;0;0;0;6;0
26002;11615;0;1;0;0;0;0;2;0;0;0;3;0
14422;10146;0;1;0;0;0;2;1;0;0;0;0;0
35254;XX_XX_10688;0;0;0;0;0;1;0;0;0;0;1;0
22620;9434;0;1;0;2;0;3;1;0;0;0;2;0
23369;EU_DK_0551;0;1;1;0;0;4;4;0;0;0;8;0
14519;3176;0;0;0;0;0;0;0;0;0;0;2;0
32406;AF_ZM_0093;0;0;0;0;0;0;0;0;0;0;1;0
12807;7602;0;2;0;0;0;1;4;0;0;0;0;0
18550;15991;0;0;0;0;0;0;3;0;0;0;2;0
6025;AM_MX_0071;0;0;0;0;0;1;1;0;0;0;1;0
14422;2913;0;0;0;1;0;2;0;0;0;0;2;0
4777;XX_XX_3068;0;2;0;0;0;1;3;1;0;0;0;0
28154;27676;0;2;0;0;0;4;3;0;0;2;4;0
33734;33648;0;2;1;0;0;6;1;0;0;0;5;0
18959;16546;0;0;0;0;0;0;0;0;0;0;2;0
18253;AS_JO_0031;0;1;0;0;0;1;1;0;0;0;2;0
18668;XX_XX_6086;0;2;1;0;0;3;3;0;0;0;0;0
2571;EU_DK_0989;0;1;0;0;0;2;1;0;0;0;0;0
24832;17039;0;5;0;0;0;2;1;0;0;0;2;0
12352;AS_IR_0354;0;0;0;0;0;2;3;0;1;0;2;0
29441;29084;0;0;0;0;0;1;1;0;0;0;1;0
18417;15818;0;1;0;0;0;0;0;0;0;0;0;0
19232;1232;0;2;0;1;0;3;0;0;0;0;5;0
14103;9667;0;1;0;0;0;2;3;0;0;0;3;0
19161;888;0;1;0;0;0;1;0;0;0;0;0;0
2467;XX_XX_9188;0;1;0;0;0;0;1;0;0;0;2;0
32655;AS_IQ_0010;0;1;1;0;0;2;3;0;0;0;4;0
12542;7158;0;0;0;1;0;1;1;0;0;0;1;0
22351;XX_XX_9055;0;0;0;1;0;3;1;0;0;0;3;0
32256;32096;0;0;0;0;0;0;0;0;0;0;1;0
4001;XX_XX_9083;0;1;0;0;0;6;0;0;0;1;5;0
35117;XX_XX_2420;0;0;0;0;0;0;1;0;0;0;1;0
22558;XX_XX_5741;0;4;1;0;0;4;3;0;0;0;5;0
7744;XX_XX_4408;1;0;0;0;0;3;5;0;0;1;3;0
8881;AS_CN_0257;0;2;0;0;0;6;4;0;0;0;7;0
29821;EU_FI_0208;0;0;0;0;0;1;0;0;0;0;1;0
8344;XX_XX_10748;0;0;0;0;0;2;0;0;0;0;1;0
30580;EU_IT_2045;0;1;0;0;0;5;2;0;0;0;4;0
19022;16625;0;1;0;0;0;1;0;0;0;0;3;0
10732;3973;0;0;0;0;0;0;1;0;0;0;0;0
10073;2793;0;2;0;0;0;0;1;0;0;0;1;0
22662;AF_SN_0003;0;3;0;0;0;5;3;0;1;0;5;0
31969;19596;0;0;0;0;0;1;0;0;0;0;0;0
2196;XX_XX_4711;0;0;0;0;0;3;2;0;0;0;4;0
